2019-11-24 11:54:00,754:INFO: 


2019-11-24 12:02:11,757:INFO: [EPOCH 00000]train_loss, train_metric: 0.02292, 0.76945; val_loss, val_metric: 0.01215, 0.77914; time elapsed: 8.1 min
2019-11-24 12:10:16,628:INFO: [EPOCH 00001]train_loss, train_metric: 0.01431, 0.77788; val_loss, val_metric: 0.01145, 0.77075; time elapsed: 8.1 min
2019-11-24 12:18:22,587:INFO: [EPOCH 00002]train_loss, train_metric: 0.01265, 0.77958; val_loss, val_metric: 0.01016, 0.78770; time elapsed: 8.1 min
2019-11-24 12:26:29,228:INFO: [EPOCH 00003]train_loss, train_metric: 0.01136, 0.78442; val_loss, val_metric: 0.00939, 0.78598; time elapsed: 8.1 min
2019-11-24 12:34:36,229:INFO: [EPOCH 00004]train_loss, train_metric: 0.01072, 0.78860; val_loss, val_metric: 0.00919, 0.78602; time elapsed: 8.1 min
2019-11-24 12:42:43,155:INFO: [EPOCH 00005]train_loss, train_metric: 0.01013, 0.79662; val_loss, val_metric: 0.00884, 0.78618; time elapsed: 8.1 min
2019-11-24 12:50:49,119:INFO: [EPOCH 00006]train_loss, train_metric: 0.00978, 0.79925; val_loss, val_metric: 0.00826, 0.79897; time elapsed: 8.1 min
2019-11-24 12:58:56,629:INFO: [EPOCH 00007]train_loss, train_metric: 0.00933, 0.80476; val_loss, val_metric: 0.00837, 0.79815; time elapsed: 8.1 min
2019-11-24 13:07:00,776:INFO: [EPOCH 00008]train_loss, train_metric: 0.00883, 0.80592; val_loss, val_metric: 0.00825, 0.79434; time elapsed: 8.1 min
2019-11-24 13:15:02,697:INFO: [EPOCH 00009]train_loss, train_metric: 0.00847, 0.81117; val_loss, val_metric: 0.00840, 0.81148; time elapsed: 8.0 min
2019-11-24 13:23:07,587:INFO: [EPOCH 00010]train_loss, train_metric: 0.00853, 0.81033; val_loss, val_metric: 0.00838, 0.81265; time elapsed: 8.1 min
2019-11-24 13:31:04,855:INFO: [EPOCH 00011]train_loss, train_metric: 0.00801, 0.81628; val_loss, val_metric: 0.00790, 0.80972; time elapsed: 8.0 min
2019-11-24 13:39:07,015:INFO: [EPOCH 00012]train_loss, train_metric: 0.00796, 0.81876; val_loss, val_metric: 0.00763, 0.80718; time elapsed: 8.0 min
2019-11-24 13:47:08,857:INFO: [EPOCH 00013]train_loss, train_metric: 0.00805, 0.81889; val_loss, val_metric: 0.00866, 0.76934; time elapsed: 8.0 min
2019-11-24 13:55:10,346:INFO: [EPOCH 00014]train_loss, train_metric: 0.00731, 0.82773; val_loss, val_metric: 0.00766, 0.79365; time elapsed: 8.0 min
2019-11-24 14:03:10,524:INFO: [EPOCH 00015]train_loss, train_metric: 0.00721, 0.82545; val_loss, val_metric: 0.00776, 0.79655; time elapsed: 8.0 min
2019-11-24 14:11:10,344:INFO: [EPOCH 00016]train_loss, train_metric: 0.00697, 0.82994; val_loss, val_metric: 0.00767, 0.80523; time elapsed: 8.0 min
2019-11-24 14:19:10,307:INFO: [EPOCH 00017]train_loss, train_metric: 0.00672, 0.83431; val_loss, val_metric: 0.00808, 0.77931; time elapsed: 8.0 min
2019-11-24 14:27:09,982:INFO: [EPOCH 00018]train_loss, train_metric: 0.00663, 0.83641; val_loss, val_metric: 0.00736, 0.80631; time elapsed: 8.0 min
2019-11-24 14:35:11,862:INFO: [EPOCH 00019]train_loss, train_metric: 0.00660, 0.83603; val_loss, val_metric: 0.00780, 0.81462; time elapsed: 8.0 min
2019-11-24 14:43:10,891:INFO: [EPOCH 00020]train_loss, train_metric: 0.00673, 0.83232; val_loss, val_metric: 0.00771, 0.80078; time elapsed: 8.0 min
2019-11-24 14:51:05,758:INFO: [EPOCH 00021]train_loss, train_metric: 0.00621, 0.83961; val_loss, val_metric: 0.00778, 0.81487; time elapsed: 7.9 min
2019-11-24 14:59:08,049:INFO: [EPOCH 00022]train_loss, train_metric: 0.00616, 0.84044; val_loss, val_metric: 0.00727, 0.80484; time elapsed: 8.0 min
2019-11-24 15:07:04,813:INFO: [EPOCH 00023]train_loss, train_metric: 0.00624, 0.84303; val_loss, val_metric: 0.00769, 0.80877; time elapsed: 7.9 min
2019-11-24 15:15:01,912:INFO: [EPOCH 00024]train_loss, train_metric: 0.00593, 0.84463; val_loss, val_metric: 0.00794, 0.81633; time elapsed: 8.0 min
2019-11-24 15:23:00,597:INFO: [EPOCH 00025]train_loss, train_metric: 0.00575, 0.84535; val_loss, val_metric: 0.00778, 0.81321; time elapsed: 8.0 min
2019-11-24 15:31:00,528:INFO: [EPOCH 00026]train_loss, train_metric: 0.00572, 0.84950; val_loss, val_metric: 0.00797, 0.81513; time elapsed: 8.0 min
2019-11-24 15:38:57,422:INFO: [EPOCH 00027]train_loss, train_metric: 0.00565, 0.84829; val_loss, val_metric: 0.00775, 0.81800; time elapsed: 7.9 min
2019-11-24 15:47:02,318:INFO: [EPOCH 00028]train_loss, train_metric: 0.00535, 0.85343; val_loss, val_metric: 0.00771, 0.81706; time elapsed: 8.1 min
2019-11-24 15:55:05,367:INFO: [EPOCH 00029]train_loss, train_metric: 0.00519, 0.85363; val_loss, val_metric: 0.00754, 0.81073; time elapsed: 8.1 min
2019-11-24 16:03:08,051:INFO: [EPOCH 00030]train_loss, train_metric: 0.00522, 0.85436; val_loss, val_metric: 0.00784, 0.80813; time elapsed: 8.0 min
